
Aspect ratio at max_mode 3: 3.4999672887756104
Mean iota at 3: -0.22999971505212466
Quasisymmetry objective at max_mode 3: 5.3236988549950675e-05
Squared flux at max_mode 3: 0.033433560268673085
fun_coils_simple#1 - J=3.4e-02, Jf=3.4e-02, ⟨B·n⟩=5.7e-02, C-C-Sep=0.18 Jf=3.4e-02, J_length=9.3e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.0e-37, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.5])=9.3, curvature=[0.9, 2.5], mean squared curvature=[0.9, 6.1]
fun_coils_simple#2 - J=2.6e-01, Jf=1.8e-01, ⟨B·n⟩=7.5e-02, C-C-Sep=0.43 Jf=1.8e-01, J_length=1.5e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.6e-06, J_LENGTH_PENALTY=7.7e-02 Coil lengths=sum([6.8, 7.7])=14.5, curvature=[1.0, 6.9], mean squared curvature=[0.9, 7.2]
fun_coils_simple#3 - J=2.0e-01, Jf=2.0e-01, ⟨B·n⟩=7.5e-02, C-C-Sep=0.23 Jf=2.0e-01, J_length=1.0e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=4.6e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.4])=10.2, curvature=[0.9, 5.0], mean squared curvature=[0.9, 8.4]
fun_coils_simple#4 - J=2.4e-02, Jf=2.4e-02, ⟨B·n⟩=4.5e-02, C-C-Sep=0.23 Jf=2.4e-02, J_length=9.4e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.4e-10, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.6])=9.4, curvature=[0.9, 2.9], mean squared curvature=[0.9, 6.0]
fun_coils_simple#5 - J=1.5e-02, Jf=1.5e-02, ⟨B·n⟩=3.8e-02, C-C-Sep=0.27 Jf=1.5e-02, J_length=9.5e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.0e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.7])=9.5, curvature=[0.9, 3.9], mean squared curvature=[0.9, 6.6]
fun_coils_simple#6 - J=1.5e-02, Jf=1.5e-02, ⟨B·n⟩=3.2e-02, C-C-Sep=0.26 Jf=1.5e-02, J_length=9.5e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.2e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.7])=9.5, curvature=[0.9, 4.3], mean squared curvature=[0.9, 6.4]
fun_coils_simple#7 - J=1.2e-02, Jf=1.2e-02, ⟨B·n⟩=3.0e-02, C-C-Sep=0.27 Jf=1.2e-02, J_length=9.5e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=1.6e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.7])=9.5, curvature=[0.9, 4.3], mean squared curvature=[0.9, 6.2]
fun_coils_simple#8 - J=1.1e-02, Jf=1.1e-02, ⟨B·n⟩=3.1e-02, C-C-Sep=0.28 Jf=1.1e-02, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=2.4e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.8])=9.6, curvature=[0.9, 4.5], mean squared curvature=[0.9, 6.1]
fun_coils_simple#9 - J=9.6e-03, Jf=9.6e-03, ⟨B·n⟩=2.8e-02, C-C-Sep=0.28 Jf=9.6e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=0.0e+00, J_ALS=3.5e-09, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 2.8])=9.6, curvature=[0.9, 5.3], mean squared curvature=[0.9, 6.6]
fun_coils_simple#10 - J=5.5e-03, Jf=5.5e-03, ⟨B·n⟩=2.1e-02, C-C-Sep=0.12 Jf=5.5e-03, J_length=1.0e-06, J_CC=5.2e-06, J_CURVATURE=0.0e+00, J_MSC=5.6e-06, J_ALS=1.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.3])=10.0, curvature=[0.9, 8.2], mean squared curvature=[0.9, 12.3]
fun_coils_simple#11 - J=5.3e-03, Jf=4.7e-03, ⟨B·n⟩=1.8e-02, C-C-Sep=0.10 Jf=4.7e-03, J_length=1.0e-06, J_CC=2.3e-05, J_CURVATURE=0.0e+00, J_MSC=5.5e-04, J_ALS=1.4e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([6.8, 3.5])=10.3, curvature=[0.9, 8.6], mean squared curvature=[0.9, 15.3]
