
Aspect ratio at max_mode 3: 6.000164613385855
Mean iota at 3: 0.41999630252553016
Quasisymmetry objective at max_mode 3: 0.0002308731908214546
Squared flux at max_mode 3: 0.009720398841985436
fun_coils_simple#1 - J=1.5e-02, Jf=1.5e-02, ⟨B·n⟩=1.9e-02, C-C-Sep=0.14 Jf=1.5e-02, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-05, J_ALS=2.4e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.0, 4.0, 4.0])=12.0, curvature=[3.4, 3.8, 4.0], mean squared curvature=[5.1, 5.3, 5.4]
fun_coils_simple#12 - J=5.7e-03, Jf=3.7e-03, ⟨B·n⟩=8.8e-03, C-C-Sep=0.06 Jf=3.7e-03, J_length=1.2e-06, J_CC=6.3e-06, J_CURVATURE=9.0e-06, J_MSC=2.0e-03, J_ALS=3.4e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.2, curvature=[6.3, 6.3, 4.8], mean squared curvature=[9.8, 8.7, 6.8]
fun_coils_simple#13 - J=5.0e-03, Jf=4.1e-03, ⟨B·n⟩=9.2e-03, C-C-Sep=0.07 Jf=4.1e-03, J_length=1.2e-06, J_CC=6.6e-06, J_CURVATURE=1.2e-06, J_MSC=8.1e-04, J_ALS=2.9e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.1, curvature=[4.8, 5.7, 4.7], mean squared curvature=[7.8, 7.4, 6.5]
fun_coils_simple#14 - J=4.6e-03, Jf=3.7e-03, ⟨B·n⟩=8.7e-03, C-C-Sep=0.06 Jf=3.7e-03, J_length=1.2e-06, J_CC=7.2e-06, J_CURVATURE=1.4e-06, J_MSC=9.2e-04, J_ALS=3.3e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.2, curvature=[4.8, 5.6, 4.8], mean squared curvature=[7.8, 7.7, 6.7]
fun_coils_simple#15 - J=4.4e-03, Jf=3.3e-03, ⟨B·n⟩=8.2e-03, C-C-Sep=0.06 Jf=3.3e-03, J_length=1.2e-06, J_CC=8.8e-06, J_CURVATURE=7.7e-07, J_MSC=1.1e-03, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.2, curvature=[4.9, 5.5, 4.8], mean squared curvature=[8.0, 7.9, 6.9]
fun_coils#1 - J=4.4e-03, Jf=3.3e-03, ⟨B·n⟩=8.2e-03, C-C-Sep=0.06 Jf=3.3e-03, J_length=1.2e-06, J_CC=8.8e-06, J_CURVATURE=7.7e-07, J_MSC=1.1e-03, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.2, curvature=[4.9, 5.5, 4.8], mean squared curvature=[8.0, 7.9, 6.9]
fun_coils#2 - J=1.0e+01, Jf=8.4e-01, ⟨B·n⟩=2.8e-01, C-C-Sep=0.01 Jf=8.4e-01, J_length=5.7e-06, J_CC=2.6e-03, J_CURVATURE=2.1e-01, J_MSC=5.4e+00, J_ALS=1.8e-05, J_LENGTH_PENALTY=3.9e+00 Coil lengths=sum([23.1, 26.1, 8.1])=57.3, curvature=[256.8, 102.0, 455.3], mean squared curvature=[82.4, 33.6, 324.2]
fun_coils#3 - J=4.3e-03, Jf=3.3e-03, ⟨B·n⟩=8.2e-03, C-C-Sep=0.06 Jf=3.3e-03, J_length=1.2e-06, J_CC=8.2e-06, J_CURVATURE=3.7e-07, J_MSC=1.0e-03, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.2, curvature=[4.8, 5.3, 4.8], mean squared curvature=[7.9, 7.8, 6.9]
fun_coils#4 - J=4.0e-03, Jf=3.2e-03, ⟨B·n⟩=8.0e-03, C-C-Sep=0.07 Jf=3.2e-03, J_length=1.2e-06, J_CC=4.8e-06, J_CURVATURE=0.0e+00, J_MSC=8.2e-04, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.2, curvature=[4.5, 4.9, 4.6], mean squared curvature=[7.7, 7.4, 6.8]
fun_coils#5 - J=3.9e-03, Jf=3.1e-03, ⟨B·n⟩=8.0e-03, C-C-Sep=0.08 Jf=3.1e-03, J_length=1.2e-06, J_CC=2.6e-06, J_CURVATURE=1.5e-07, J_MSC=8.0e-04, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.2, curvature=[4.9, 5.3, 4.6], mean squared curvature=[7.7, 7.5, 6.6]
fun_coils#6 - J=3.7e-03, Jf=3.1e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.08 Jf=3.1e-03, J_length=1.2e-06, J_CC=2.2e-06, J_CURVATURE=2.6e-10, J_MSC=6.7e-04, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.2, curvature=[5.0, 4.9, 4.6], mean squared curvature=[7.5, 7.2, 6.6]
fun_coils#7 - J=3.7e-03, Jf=3.0e-03, ⟨B·n⟩=7.9e-03, C-C-Sep=0.08 Jf=3.0e-03, J_length=1.2e-06, J_CC=1.9e-06, J_CURVATURE=1.0e-09, J_MSC=6.3e-04, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.2, curvature=[5.0, 4.8, 4.6], mean squared curvature=[7.5, 7.1, 6.5]
fun_coils#8 - J=3.5e-03, Jf=3.0e-03, ⟨B·n⟩=7.8e-03, C-C-Sep=0.08 Jf=3.0e-03, J_length=1.2e-06, J_CC=1.4e-06, J_CURVATURE=0.0e+00, J_MSC=5.7e-04, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.1, curvature=[4.9, 4.6, 4.6], mean squared curvature=[7.3, 7.0, 6.4]
fun_coils#9 - J=3.4e-03, Jf=2.8e-03, ⟨B·n⟩=7.7e-03, C-C-Sep=0.08 Jf=2.8e-03, J_length=1.2e-06, J_CC=7.9e-07, J_CURVATURE=0.0e+00, J_MSC=5.1e-04, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.1, curvature=[4.7, 4.4, 4.6], mean squared curvature=[7.2, 6.8, 6.3]
fun_coils#10 - J=3.3e-03, Jf=2.7e-03, ⟨B·n⟩=7.4e-03, C-C-Sep=0.09 Jf=2.7e-03, J_length=1.2e-06, J_CC=1.1e-07, J_CURVATURE=0.0e+00, J_MSC=6.3e-04, J_ALS=3.6e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.1, curvature=[4.5, 4.8, 4.5], mean squared curvature=[7.3, 7.4, 6.3]
fun_coils#11 - J=3.2e-03, Jf=2.7e-03, ⟨B·n⟩=7.5e-03, C-C-Sep=0.09 Jf=2.7e-03, J_length=1.2e-06, J_CC=3.2e-07, J_CURVATURE=0.0e+00, J_MSC=4.8e-04, J_ALS=3.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.0, 4.0])=12.1, curvature=[4.3, 4.6, 4.6], mean squared curvature=[7.0, 7.0, 6.3]
fun_coils#12 - J=3.0e-03, Jf=2.7e-03, ⟨B·n⟩=7.3e-03, C-C-Sep=0.09 Jf=2.7e-03, J_length=1.2e-06, J_CC=9.3e-08, J_CURVATURE=0.0e+00, J_MSC=3.8e-04, J_ALS=3.6e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.0, 4.0])=12.1, curvature=[4.1, 4.8, 4.5], mean squared curvature=[6.8, 6.6, 6.3]
fun_coils#13 - J=2.9e-03, Jf=2.6e-03, ⟨B·n⟩=7.2e-03, C-C-Sep=0.10 Jf=2.6e-03, J_length=1.2e-06, J_CC=1.2e-08, J_CURVATURE=5.2e-10, J_MSC=3.2e-04, J_ALS=3.6e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.0, 4.0])=12.1, curvature=[4.2, 5.0, 4.5], mean squared curvature=[6.7, 6.4, 6.3]
fun_coils#14 - J=2.8e-03, Jf=2.5e-03, ⟨B·n⟩=7.0e-03, C-C-Sep=0.10 Jf=2.5e-03, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=2.1e-09, J_MSC=2.7e-04, J_ALS=3.8e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.0, 4.0])=12.1, curvature=[4.3, 5.0, 4.4], mean squared curvature=[6.4, 6.3, 6.3]
fun_coils#15 - J=2.6e-03, Jf=2.3e-03, ⟨B·n⟩=6.8e-03, C-C-Sep=0.11 Jf=2.3e-03, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.8e-04, J_ALS=4.0e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.0, 4.0])=12.1, curvature=[4.7, 4.8, 4.4], mean squared curvature=[6.3, 6.4, 6.4]
fun_coils#16 - J=2.4e-03, Jf=2.2e-03, ⟨B·n⟩=6.6e-03, C-C-Sep=0.11 Jf=2.2e-03, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.5e-04, J_ALS=4.2e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.1, curvature=[4.4, 4.8, 4.3], mean squared curvature=[6.0, 6.4, 6.4]
fun_coils#17 - J=2.1e-03, Jf=1.9e-03, ⟨B·n⟩=6.1e-03, C-C-Sep=0.12 Jf=1.9e-03, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=4.2e-08, J_MSC=2.5e-04, J_ALS=4.5e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.1, 4.1, 4.0])=12.2, curvature=[4.6, 5.2, 4.1], mean squared curvature=[6.1, 6.3, 6.5]
fun_coils#18 - J=1.9e-03, Jf=1.5e-03, ⟨B·n⟩=5.4e-03, C-C-Sep=0.12 Jf=1.5e-03, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.3e-04, J_ALS=5.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.2, 4.1, 4.0])=12.2, curvature=[4.9, 5.0, 3.9], mean squared curvature=[6.6, 6.4, 6.5]
fun_coils#19 - J=1.7e-03, Jf=1.3e-03, ⟨B·n⟩=5.1e-03, C-C-Sep=0.12 Jf=1.3e-03, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.8e-04, J_ALS=5.7e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.2, 4.1, 3.9])=12.3, curvature=[4.5, 4.4, 4.3], mean squared curvature=[6.7, 6.5, 6.5]
fun_coils#20 - J=1.5e-03, Jf=1.3e-03, ⟨B·n⟩=5.0e-03, C-C-Sep=0.12 Jf=1.3e-03, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.5e-04, J_ALS=5.8e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.2, 4.1, 3.9])=12.3, curvature=[4.3, 3.9, 3.9], mean squared curvature=[6.2, 6.3, 6.4]
fun_coils#21 - J=1.4e-03, Jf=1.2e-03, ⟨B·n⟩=4.9e-03, C-C-Sep=0.12 Jf=1.2e-03, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.1e-04, J_ALS=6.0e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.1, 3.9])=12.3, curvature=[4.3, 3.9, 3.9], mean squared curvature=[6.0, 6.2, 6.3]
fun_coils#22 - J=1.2e-03, Jf=9.6e-04, ⟨B·n⟩=4.7e-03, C-C-Sep=0.12 Jf=9.6e-04, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=2.2e-04, J_ALS=6.7e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.1, 4.0])=12.4, curvature=[4.5, 4.5, 4.8], mean squared curvature=[5.9, 6.3, 6.3]
fun_coils#23 - J=1.1e-03, Jf=8.6e-04, ⟨B·n⟩=4.6e-03, C-C-Sep=0.12 Jf=8.6e-04, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=1.4e-06, J_MSC=2.5e-04, J_ALS=7.6e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.4, 4.2, 4.0])=12.5, curvature=[4.2, 4.8, 6.0], mean squared curvature=[5.9, 6.4, 6.5]
fun_coils#24 - J=1.0e-03, Jf=8.6e-04, ⟨B·n⟩=4.6e-03, C-C-Sep=0.12 Jf=8.6e-04, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.6e-04, J_ALS=7.4e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.3, 4.2, 4.0])=12.5, curvature=[4.1, 4.7, 4.1], mean squared curvature=[5.7, 6.2, 6.1]
fun_coils#25 - J=9.8e-04, Jf=8.3e-04, ⟨B·n⟩=4.6e-03, C-C-Sep=0.12 Jf=8.3e-04, J_length=1.2e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.4e-04, J_ALS=7.6e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.4, 4.2, 4.0])=12.5, curvature=[3.9, 4.7, 4.1], mean squared curvature=[5.7, 6.1, 6.1]
fun_coils#26 - J=9.0e-04, Jf=7.7e-04, ⟨B·n⟩=4.4e-03, C-C-Sep=0.12 Jf=7.7e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=8.1e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.4, 4.2, 4.0])=12.6, curvature=[4.2, 4.5, 4.5], mean squared curvature=[5.7, 6.0, 6.1]
fun_coils#27 - J=8.4e-04, Jf=7.0e-04, ⟨B·n⟩=4.3e-03, C-C-Sep=0.13 Jf=7.0e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=8.6e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.4, 4.2, 4.0])=12.6, curvature=[4.5, 4.2, 4.0], mean squared curvature=[5.7, 6.1, 6.1]
fun_coils#28 - J=7.9e-04, Jf=6.2e-04, ⟨B·n⟩=4.1e-03, C-C-Sep=0.13 Jf=6.2e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.7e-04, J_ALS=9.4e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.3, 4.0])=12.7, curvature=[4.7, 4.5, 4.7], mean squared curvature=[5.8, 6.3, 6.1]
fun_coils#29 - J=7.5e-04, Jf=6.1e-04, ⟨B·n⟩=4.1e-03, C-C-Sep=0.13 Jf=6.1e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=9.4e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.3, 4.0])=12.7, curvature=[4.4, 4.1, 3.9], mean squared curvature=[5.7, 6.1, 6.0]
fun_coils#30 - J=7.2e-04, Jf=5.9e-04, ⟨B·n⟩=4.1e-03, C-C-Sep=0.13 Jf=5.9e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=9.4e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.3, 4.0])=12.7, curvature=[4.1, 4.1, 4.1], mean squared curvature=[5.6, 6.0, 6.0]
fun_coils#31 - J=6.8e-04, Jf=5.5e-04, ⟨B·n⟩=3.9e-03, C-C-Sep=0.13 Jf=5.5e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=9.7e-08, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.3, 4.0])=12.8, curvature=[3.9, 4.3, 4.2], mean squared curvature=[5.6, 6.0, 6.1]
fun_coils#32 - J=6.6e-04, Jf=5.0e-04, ⟨B·n⟩=3.8e-03, C-C-Sep=0.13 Jf=5.0e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.7e-04, J_ALS=1.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.3, 4.0])=12.9, curvature=[4.0, 4.6, 5.0], mean squared curvature=[5.7, 6.0, 6.4]
fun_coils#33 - J=6.2e-04, Jf=4.9e-04, ⟨B·n⟩=3.7e-03, C-C-Sep=0.13 Jf=4.9e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.3e-04, J_ALS=1.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.5, 4.3, 4.0])=12.9, curvature=[4.0, 4.5, 4.0], mean squared curvature=[5.7, 6.0, 6.1]
fun_coils#34 - J=6.0e-04, Jf=4.8e-04, ⟨B·n⟩=3.7e-03, C-C-Sep=0.13 Jf=4.8e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=1.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.3, 4.0])=12.9, curvature=[4.0, 4.4, 3.8], mean squared curvature=[5.6, 5.9, 6.1]
fun_coils#35 - J=5.7e-04, Jf=4.5e-04, ⟨B·n⟩=3.6e-03, C-C-Sep=0.13 Jf=4.5e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=1.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.3, 4.1])=13.0, curvature=[4.2, 4.4, 4.0], mean squared curvature=[5.6, 5.9, 6.1]
fun_coils#36 - J=5.4e-04, Jf=4.2e-04, ⟨B·n⟩=3.4e-03, C-C-Sep=0.12 Jf=4.2e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=1.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.6, 4.4, 4.1])=13.0, curvature=[4.4, 4.6, 3.9], mean squared curvature=[5.7, 5.9, 6.1]
fun_coils#37 - J=5.3e-04, Jf=3.7e-04, ⟨B·n⟩=3.2e-03, C-C-Sep=0.11 Jf=3.7e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.5e-04, J_ALS=1.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.4, 4.1])=13.2, curvature=[4.6, 4.4, 4.6], mean squared curvature=[5.8, 6.0, 6.1]
fun_coils#38 - J=4.9e-04, Jf=3.7e-04, ⟨B·n⟩=3.2e-03, C-C-Sep=0.11 Jf=3.7e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.2e-04, J_ALS=1.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.4, 4.1])=13.2, curvature=[4.5, 4.3, 3.8], mean squared curvature=[5.8, 5.9, 6.0]
fun_coils#39 - J=4.7e-04, Jf=3.7e-04, ⟨B·n⟩=3.1e-03, C-C-Sep=0.11 Jf=3.7e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.1e-04, J_ALS=1.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.4, 4.1])=13.2, curvature=[4.3, 4.3, 4.0], mean squared curvature=[5.7, 5.9, 5.9]
fun_coils#40 - J=4.5e-04, Jf=3.5e-04, ⟨B·n⟩=3.0e-03, C-C-Sep=0.11 Jf=3.5e-04, J_length=1.3e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=1.0e-04, J_ALS=1.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.4, 4.1])=13.2, curvature=[4.2, 4.4, 4.1], mean squared curvature=[5.7, 5.9, 5.9]
fun_coils#41 - J=4.3e-04, Jf=3.3e-04, ⟨B·n⟩=2.9e-03, C-C-Sep=0.10 Jf=3.3e-04, J_length=1.3e-06, J_CC=1.8e-11, J_CURVATURE=0.0e+00, J_MSC=9.7e-05, J_ALS=1.3e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.7, 4.4, 4.1])=13.3, curvature=[4.5, 4.4, 4.1], mean squared curvature=[5.7, 5.8, 5.9]
fun_coils#42 - J=4.1e-04, Jf=3.0e-04, ⟨B·n⟩=2.7e-03, C-C-Sep=0.09 Jf=3.0e-04, J_length=1.3e-06, J_CC=5.8e-08, J_CURVATURE=0.0e+00, J_MSC=1.0e-04, J_ALS=1.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.5, 4.2])=13.5, curvature=[4.7, 4.6, 4.1], mean squared curvature=[5.8, 5.9, 5.9]
fun_coils#43 - J=3.9e-04, Jf=3.0e-04, ⟨B·n⟩=2.7e-03, C-C-Sep=0.09 Jf=3.0e-04, J_length=1.3e-06, J_CC=5.1e-08, J_CURVATURE=0.0e+00, J_MSC=9.2e-05, J_ALS=1.4e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.5, 4.2])=13.5, curvature=[4.5, 4.4, 3.8], mean squared curvature=[5.7, 5.8, 5.8]
fun_coils#44 - J=3.8e-04, Jf=2.9e-04, ⟨B·n⟩=2.6e-03, C-C-Sep=0.09 Jf=2.9e-04, J_length=1.4e-06, J_CC=5.1e-08, J_CURVATURE=0.0e+00, J_MSC=9.0e-05, J_ALS=1.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([4.8, 4.5, 4.2])=13.5, curvature=[4.3, 4.3, 3.8], mean squared curvature=[5.7, 5.8, 5.8]
