
Aspect ratio at max_mode 3: 7.0005969980925915
Mean iota at 3: -0.46675452068156176
Squared flux at max_mode 3: 0.00776731652366406
fun_coils_simple#1 - J=1.2e-02, Jf=9.4e-03, ⟨B·n⟩=6.9e-03, C-C-Sep=0.20 Jf=9.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=2.5e-05, J_MSC=2.7e-03, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[13.7, 15.8, 10.2], mean squared curvature=[13.8, 15.9, 12.1]
fun_coils_simple#2 - J=1.2e+01, Jf=9.2e-01, ⟨B·n⟩=1.9e-01, C-C-Sep=0.03 Jf=9.2e-01, J_length=7.9e-06, J_CC=2.5e-03, J_CURVATURE=7.8e-02, J_MSC=9.9e-01, J_ALS=5.6e-05, J_LENGTH_PENALTY=9.9e+00 Coil lengths=sum([23.0, 46.1, 10.2])=79.3, curvature=[100.7, 56.2, 94.8], mean squared curvature=[53.5, 26.7, 142.8]
fun_coils_simple#3 - J=5.4e+01, Jf=1.5e-02, ⟨B·n⟩=8.7e-03, C-C-Sep=0.13 Jf=1.5e-02, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=3.1e-01, J_MSC=5.4e+01, J_ALS=7.7e-07, J_LENGTH_PENALTY=4.8e-03 Coil lengths=sum([4.1, 6.5, 3.5])=14.1, curvature=[112.2, 1003.1, 87.0], mean squared curvature=[384.5, 962.9, 196.1]
fun_coils_simple#4 - J=1.1e-02, Jf=9.4e-03, ⟨B·n⟩=6.9e-03, C-C-Sep=0.20 Jf=9.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=3.5e-06, J_MSC=1.7e-03, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[12.5, 9.9, 10.2], mean squared curvature=[13.2, 14.4, 11.9]
fun_coils_simple#5 - J=1.0e-02, Jf=9.4e-03, ⟨B·n⟩=6.9e-03, C-C-Sep=0.20 Jf=9.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.9e-06, J_MSC=1.0e-03, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[12.0, 9.5, 10.1], mean squared curvature=[12.6, 13.3, 11.5]
fun_coils_simple#6 - J=1.0e-02, Jf=9.4e-03, ⟨B·n⟩=6.9e-03, C-C-Sep=0.20 Jf=9.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=9.5e-07, J_MSC=6.0e-04, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[11.3, 9.2, 10.0], mean squared curvature=[12.0, 12.7, 11.0]
fun_coils_simple#7 - J=9.7e-03, Jf=9.4e-03, ⟨B·n⟩=6.9e-03, C-C-Sep=0.20 Jf=9.4e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.3e-07, J_MSC=3.5e-04, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[10.5, 8.6, 9.8], mean squared curvature=[11.3, 12.2, 10.6]
fun_coils_simple#8 - J=9.5e-03, Jf=9.3e-03, ⟨B·n⟩=6.8e-03, C-C-Sep=0.20 Jf=9.3e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=3.2e-06, J_MSC=2.1e-04, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[14.0, 7.7, 9.6], mean squared curvature=[11.0, 11.8, 10.3]
fun_coils_simple#9 - J=9.2e-03, Jf=9.0e-03, ⟨B·n⟩=6.7e-03, C-C-Sep=0.20 Jf=9.0e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.0e-05, J_MSC=1.6e-04, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[16.9, 9.3, 9.2], mean squared curvature=[10.8, 11.6, 10.2]
fun_coils_simple#10 - J=8.9e-03, Jf=8.7e-03, ⟨B·n⟩=6.7e-03, C-C-Sep=0.20 Jf=8.7e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=1.4e-06, J_MSC=1.8e-04, J_ALS=4.2e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[10.8, 10.3, 12.2], mean squared curvature=[10.6, 11.7, 10.5]
fun_coils_simple#11 - J=8.6e-03, Jf=8.2e-03, ⟨B·n⟩=6.5e-03, C-C-Sep=0.20 Jf=8.2e-03, J_length=9.6e-07, J_CC=0.0e+00, J_CURVATURE=5.8e-06, J_MSC=3.9e-04, J_ALS=4.1e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.2, 3.3])=9.6, curvature=[11.6, 10.0, 13.9], mean squared curvature=[11.9, 11.8, 10.9]
