
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.003553105236718188
fun_coils_simple#1 - J=6.3e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=5.2e-05, J_MSC=2.8e-03, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 10.8, 15.0, 15.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 14.4, 16.0]
fun_coils_simple#2 - J=1.9e+01, Jf=5.0e-01, ⟨B·n⟩=1.1e-01, C-C-Sep=0.04 Jf=5.0e-01, J_length=8.1e-06, J_CC=2.6e-03, J_CURVATURE=3.3e-01, J_MSC=7.4e+00, J_ALS=6.0e-05, J_LENGTH_PENALTY=1.2e+01 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 17.7, 51.4])=81.5, curvature=[4.8, 3.5, 3.3, 11.3, 740.4, 168.0], mean squared curvature=[8.3, 5.4, 5.0, 7.9, 394.8, 31.3]
fun_coils_simple#3 - J=1.2e+03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=8.5e-01, J_MSC=1.2e+03, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.6])=19.2, curvature=[4.8, 3.5, 3.4, 10.8, 85.5, 3320.0], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 110.9, 4852.6]
fun_coils_simple#4 - J=5.8e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=2.2e-04, J_MSC=2.2e-03, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 12.1, 32.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 12.3, 16.3]
fun_coils_simple#5 - J=4.1e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.7e-06, J_MSC=5.5e-04, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 12.0, 10.8], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 12.2, 12.5]
fun_coils_simple#6 - J=4.0e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=2.5e-06, J_MSC=4.5e-04, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 11.6, 11.3], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 11.9, 12.3]
fun_coils_simple#7 - J=3.8e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.7e-07, J_MSC=2.0e-04, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 10.3, 10.1], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 10.9, 11.8]
fun_coils_simple#8 - J=3.7e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.4e-07, J_MSC=1.2e-04, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 10.2, 7.8], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 10.3, 11.5]
fun_coils_simple#9 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-07, J_MSC=6.7e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 10.1, 7.2], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 10.0, 11.2]
fun_coils_simple#10 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-07, J_MSC=4.7e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 10.1, 6.1], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.8, 11.0]
fun_coils_simple#11 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=2.4e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 10.0, 5.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.7, 10.7]
