
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.001018332930600819
fun_coils_simple#1 - J=7.2e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.4e-05, J_MSC=6.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.3, 14.0, 13.3, 16.1], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.5, 15.4, 15.9, 16.1]
fun_coils_simple#2 - J=2.5e+01, Jf=5.7e-01, ⟨B·n⟩=1.9e-01, C-C-Sep=0.02 Jf=5.7e-01, J_length=1.1e-05, J_CC=1.0e-02, J_CURVATURE=2.4e-01, J_MSC=1.4e+01, J_ALS=6.2e-05, J_LENGTH_PENALTY=1.0e+01 Coil lengths=sum([3.9, 3.0, 3.0, 3.0, 3.7, 23.5, 28.6, 37.0])=105.7, curvature=[80.4, 5.3, 3.6, 4.4, 283.6, 176.0, 247.7, 95.0], mean squared curvature=[231.1, 7.8, 5.9, 5.8, 474.6, 99.5, 72.3, 40.4]
fun_coils_simple#3 - J=4.6e+01, Jf=1.2e-03, ⟨B·n⟩=4.4e-03, C-C-Sep=0.19 Jf=1.2e-03, J_length=2.9e-06, J_CC=0.0e+00, J_CURVATURE=2.6e-01, J_MSC=4.6e+01, J_ALS=7.1e-07, J_LENGTH_PENALTY=9.9e-03 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 4.1, 4.7, 5.2])=29.1, curvature=[8.8, 5.3, 3.6, 4.5, 14.6, 153.1, 181.2, 550.9], mean squared curvature=[16.5, 7.8, 5.9, 5.8, 12.6, 454.8, 364.5, 785.5]
fun_coils_simple#4 - J=6.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-04, J_MSC=5.7e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.2, 13.1, 8.5, 50.6], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.3, 13.4, 13.3, 18.4]
fun_coils_simple#5 - J=5.5e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=5.1e-05, J_MSC=4.4e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.2, 13.5, 10.4, 23.5], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.4, 14.3, 14.3, 15.6]
fun_coils_simple#6 - J=4.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.0e-05, J_MSC=3.1e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.2, 13.0, 8.5, 13.4], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.3, 13.4, 13.3, 14.2]
fun_coils_simple#7 - J=3.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=7.0e-06, J_MSC=2.7e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.2, 12.6, 8.7, 12.8], mean squared curvature=[14.6, 7.8, 5.9, 5.8, 10.3, 12.9, 12.9, 14.1]
fun_coils_simple#8 - J=3.3e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=1.3e-06, J_MSC=2.2e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.1, 11.7, 9.9, 10.7], mean squared curvature=[14.5, 7.8, 5.9, 5.8, 10.1, 12.0, 12.5, 13.7]
fun_coils_simple#9 - J=3.1e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.9e-05, J_MSC=2.0e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.0, 10.2, 10.5, 29.5], mean squared curvature=[14.4, 7.8, 5.9, 5.8, 10.0, 11.1, 12.3, 13.9]
fun_coils_simple#10 - J=2.8e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=1.7e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.0, 5.3, 3.6, 4.5, 7.0, 10.4, 10.8, 7.9], mean squared curvature=[14.3, 7.8, 5.9, 5.8, 9.9, 11.0, 12.3, 13.1]
fun_coils_simple#11 - J=2.7e-03, Jf=1.0e-03, ⟨B·n⟩=4.1e-03, C-C-Sep=0.20 Jf=1.0e-03, J_length=2.4e-06, J_CC=0.0e+00, J_CURVATURE=3.2e-07, J_MSC=1.7e-03, J_ALS=8.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.1])=24.2, curvature=[7.1, 5.3, 3.6, 4.5, 7.0, 10.5, 10.7, 7.9], mean squared curvature=[14.3, 7.8, 5.9, 5.8, 9.9, 10.9, 12.3, 13.0]
