
Aspect ratio at max_mode 3: 7.000779995541477
Mean iota at 3: 0.4676719270089491
Squared flux at max_mode 3: 0.003553105236718188
fun_coils_simple#1 - J=6.3e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=5.2e-05, J_MSC=2.8e-03, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 10.8, 15.0, 15.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 14.4, 16.0]
fun_coils_simple#2 - J=1.9e+01, Jf=5.0e-01, ⟨B·n⟩=1.1e-01, C-C-Sep=0.04 Jf=5.0e-01, J_length=8.1e-06, J_CC=2.6e-03, J_CURVATURE=3.3e-01, J_MSC=7.4e+00, J_ALS=6.0e-05, J_LENGTH_PENALTY=1.1e+01 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 17.7, 51.4])=81.5, curvature=[4.8, 3.5, 3.3, 11.3, 740.4, 168.0], mean squared curvature=[8.3, 5.4, 5.0, 7.9, 394.8, 31.3]
fun_coils_simple#3 - J=1.2e+03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=8.6e-01, J_MSC=1.2e+03, J_ALS=4.9e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.6])=19.2, curvature=[4.8, 3.5, 3.4, 10.8, 85.7, 3329.4], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 111.5, 4878.4]
fun_coils_simple#4 - J=5.1e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=2.4e-05, J_MSC=1.6e-03, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 10.8, 14.3, 12.8], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 13.8, 14.1]
fun_coils_simple#5 - J=4.4e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=8.9e-06, J_MSC=8.6e-04, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.8, curvature=[4.8, 3.5, 3.4, 10.8, 13.0, 9.9], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 12.9, 13.0]
fun_coils_simple#6 - J=3.9e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=7.2e-07, J_MSC=3.5e-04, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 10.8, 8.7], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 11.4, 12.2]
fun_coils_simple#7 - J=3.7e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.4e-07, J_MSC=1.7e-04, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 10.2, 7.3], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 10.6, 11.7]
fun_coils_simple#8 - J=3.7e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.26 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-07, J_MSC=1.1e-04, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 9.9, 7.6], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 10.0, 11.5]
fun_coils_simple#9 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-07, J_MSC=6.5e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 9.9, 6.8], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.7, 11.1]
fun_coils_simple#10 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-07, J_MSC=5.0e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 9.8, 6.3], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.5, 11.0]
fun_coils_simple#11 - J=3.6e-03, Jf=3.6e-03, ⟨B·n⟩=6.0e-03, C-C-Sep=0.25 Jf=3.6e-03, J_length=1.9e-06, J_CC=0.0e+00, J_CURVATURE=3.3e-07, J_MSC=3.3e-05, J_ALS=5.5e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.1, 3.1, 3.1, 3.1, 3.2, 3.2])=18.7, curvature=[4.8, 3.5, 3.4, 10.8, 9.7, 5.6], mean squared curvature=[8.3, 5.4, 5.0, 7.7, 9.3, 10.8]
